account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
898754153,None,18,{'estimate': 7739},80,None,None
173978074,6082,6,{'estimate': 6922},80,7742,None
118134220,None,119,{'estimate': 6766},80,8560,None
157475523,5465,18,{'estimate': 7237},80,7369,None
111114687,None,69,{'estimate': 6584},80,None,None
206642367,5374,2,{'estimate': 6709},80,6347,None
106863163,None,22,{'estimate': 7804},80,8332,None
94738847,None,6,{'estimate': 6765},80,8181,None
139876032,6017,89,{'estimate': 6772},80,7807,None
94296097,None,77,{'estimate': 7026},80,7823,None
1284323241,None,None,{'estimate': 3907},None,None,None
1280585455,None,None,{'estimate': 3912},None,None,None
299806942,None,3260,{'estimate': 4070},80,4252,1653859550
1239198638,None,None,{'estimate': 3867},None,None,None
1262266956,None,None,{'estimate': 3903},None,None,None
1029972951,None,638,{'estimate': 4181},80,None,None
1255727750,None,None,{'estimate': 3899},80,None,None
1050127319,None,None,{'estimate': 3803},75,None,None
318051460,None,None,{'estimate': 3841},72,None,None
228392819,3563,4877,{'estimate': 3924},80,3693,1654194610
1113841513,None,501,{'estimate': 4958},80,None,None
151719715,5238,289,{'estimate': 4977},80,5546,None
358831217,3540,269,{'estimate': 4953},80,3584,None
122459461,None,217,{'estimate': 4957},80,None,None
392277500,None,247,{'estimate': 4941},80,3500,None
1085302162,None,4334,{'estimate': 4560},80,None,None
1074387886,None,437,{'estimate': 5292},80,None,None
966354824,None,None,{'estimate': 5285},None,None,None
351961716,None,None,{'estimate': 4758},75,None,None
1221364385,None,None,{'estimate': 4920},74,None,None
153727297,5729,48,{'estimate': 5928},80,4798,None
118559150,None,69,{'estimate': 6156},80,None,None
292829433,4389,94,{'estimate': 5777},80,5424,None
237201026,None,30,{'estimate': 6300},80,6958,None
343084576,None,60,{'estimate': 6045},80,None,None
88553213,5437,483,{'estimate': 6132},80,6717,None
353424606,5206,58,{'estimate': 6170},80,6295,1654424414
162641196,5556,36,{'estimate': 6341},80,6281,None
219755398,None,35,{'estimate': 6109},80,None,1654348397
212560917,None,141,{'estimate': 6339},80,None,1654340214
153727297,5729,48,{'estimate': 5928},80,4798,None
301477244,4284,4941,{'estimate': 3181},80,None,None
1103355581,None,None,{'estimate': 3181},71,None,None
1045494300,None,None,{'estimate': 3181},75,None,None
181339278,None,None,{'estimate': 3181},75,None,None
80599925,3265,None,{'estimate': 3181},80,3248,None
230308002,None,None,{'estimate': 2746},80,None,None
1173255449,None,4025,{'estimate': 2830},80,None,None
1133046148,None,None,{'estimate': 2765},62,None,None
76082922,None,None,{'estimate': 2753},45,None,None
1194935883,None,None,{'estimate': 2838},None,None,None
57578110,None,225,{'estimate': 6627},80,6353,None
72393079,5224,130,{'estimate': 6370},80,7048,1652504232
377594124,5030,75,{'estimate': 5920},80,None,None
274078636,None,155,{'estimate': 6092},80,5634,None
209287073,None,1414,{'estimate': 6092},80,None,None
451317002,None,84,{'estimate': 6183},80,None,None
88553213,5437,483,{'estimate': 6132},80,6717,None
353424606,5206,58,{'estimate': 6170},80,6295,1654424414
162641196,5556,36,{'estimate': 6341},80,6281,None
219755398,None,35,{'estimate': 6109},80,None,1654348397
212560917,None,141,{'estimate': 6339},80,None,1654340214
57578110,None,225,{'estimate': 6627},80,6353,None
458287006,None,58,{'estimate': 5884},80,None,None
35504297,6075,64,{'estimate': 6262},80,8058,None
31388939,None,738,{'estimate': 5893},80,6787,None
86832913,5576,3513,{'estimate': 5692},80,6111,None
118305301,6762,82,{'estimate': 6612},80,8105,None
1034993673,None,2042,{'estimate': 5357},80,None,None
176664587,4850,1037,{'estimate': 5560},80,5014,None
106783671,5111,128,{'estimate': 5855},80,5013,1654189908
140297552,5610,83,{'estimate': 5927},80,5760,None
282248784,5795,3930,{'estimate': 5455},80,6050,None
181195624,4144,3968,{'estimate': 5085},80,4012,None
1210331127,None,None,{'estimate': 4106},80,None,None
339941742,3869,2574,{'estimate': 4373},80,5057,None
1158036449,None,1857,{'estimate': 4559},80,None,None
