account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
114585639,1273,24,{'estimate': 5430},80,4552,None
1035128290,None,376,{'estimate': 4905},80,None,1653964164
169405715,None,94,{'estimate': 4937},80,689,None
361688848,None,45,{'estimate': 4989},80,None,None
98961223,4213,109,{'estimate': 4881},80,4593,None
172739956,5691,610,{'estimate': 5904},80,6511,None
874542740,None,237,{'estimate': 5625},80,None,None
93159453,3921,300,{'estimate': 5757},80,4344,1652688901
92253768,5299,118,{'estimate': 6053},80,7474,None
277196834,4317,183,{'estimate': 5763},80,5775,None
1173255449,None,4025,{'estimate': 2863},80,None,None
1133046148,None,None,{'estimate': 2782},62,None,None
1194935883,None,None,{'estimate': 2871},None,None,None
230308002,None,None,{'estimate': 2760},80,None,None
76082922,None,None,{'estimate': 2767},45,None,None
1227183303,None,None,{'estimate': 2637},80,None,None
1228355759,None,None,{'estimate': 2597},None,None,None
1200963940,None,None,{'estimate': 2597},None,None,None
928499811,None,None,{'estimate': 2702},73,None,None
1185918470,None,None,{'estimate': 2723},80,None,None
292921272,None,4,{'estimate': 5672},80,4313,None
153836240,None,89,{'estimate': 5975},80,None,None
119631156,None,91,{'estimate': 6108},80,7089,None
164685175,None,114,{'estimate': 6114},80,5517,None
157989498,5714,14,{'estimate': 6111},80,8002,None
125995177,None,68,{'estimate': 5962},80,None,None
131303632,4936,26,{'estimate': 5650},80,5977,None
138177198,None,65,{'estimate': 5962},80,None,None
105045291,None,None,{'estimate': 6076},80,7868,None
177203952,4402,45,{'estimate': 5202},80,5002,None
113923026,3967,None,{'estimate': 4621},73,4587,None
130433320,None,1476,{'estimate': 4771},80,6185,1653951885
1280585455,None,None,{'estimate': 3867},None,None,None
299806942,None,3260,{'estimate': 3991},80,4252,1653859550
174924847,4372,3171,{'estimate': 4874},80,5400,None
342337498,None,None,{'estimate': 3786},None,None,None
1264871757,None,None,{'estimate': 3745},None,None,None
1251984026,None,None,{'estimate': 3880},None,None,None
1106500482,None,None,{'estimate': 3687},None,None,None
1239198638,None,None,{'estimate': 3929},None,None,None
399920568,4726,31,{'estimate': 5335},80,4663,None
1171243748,None,299,{'estimate': 5973},80,None,None
242885483,4461,103,{'estimate': 5824},80,6405,None
28070572,None,39,{'estimate': 5807},80,6522,None
100758751,4195,62,{'estimate': 5654},80,None,None
124659668,5784,86,{'estimate': 5288},80,3722,None
123953528,4732,104,{'estimate': 5945},80,7121,None
121591254,None,223,{'estimate': 6190},80,None,None
173971950,5586,13,{'estimate': 5994},80,6844,None
185001854,4991,41,{'estimate': 5819},80,6038,None
1171243748,None,299,{'estimate': 5973},80,None,None
399920568,4726,31,{'estimate': 5335},80,4663,None
242885483,4461,103,{'estimate': 5824},80,6405,None
100758751,4195,62,{'estimate': 5654},80,None,None
28070572,None,39,{'estimate': 5807},80,6522,None
121591254,None,223,{'estimate': 6190},80,None,None
123953528,4732,104,{'estimate': 5945},80,7121,None
173971950,5586,13,{'estimate': 5994},80,6844,None
185001854,4991,41,{'estimate': 5819},80,6038,None
124659668,5784,86,{'estimate': 5288},80,3722,None
184950344,None,26,{'estimate': 6986},80,6393,None
94281932,5200,12,{'estimate': 6712},80,8263,None
136829091,5664,89,{'estimate': 6137},80,6212,None
121404228,None,169,{'estimate': 6987},80,None,None
152545459,None,22,{'estimate': 6388},80,None,None
100471531,None,4,{'estimate': 7277},80,7361,None
102099826,None,282,{'estimate': 7314},80,8415,None
164532005,None,4,{'estimate': 7209},80,7786,None
132309493,5924,12,{'estimate': 7314},80,6739,None
148526973,5735,101,{'estimate': 6354},80,7179,None
168762251,4140,3550,{'estimate': 4656},80,4783,None
248646480,None,1475,{'estimate': 4212},80,None,None
147424186,None,1331,{'estimate': 4574},80,6105,None
369842667,None,4887,{'estimate': 4270},80,None,None
229037109,3589,569,{'estimate': 4378},80,3417,None
204978090,4268,199,{'estimate': 4887},80,4702,None
148677133,4483,413,{'estimate': 4963},80,5274,None
49698664,None,3522,{'estimate': 4551},80,None,1653679347
366222432,5176,625,{'estimate': 5021},80,6019,None
182304190,None,898,{'estimate': 4900},80,None,None
361688848,None,45,{'estimate': 4989},80,None,None
1035128290,None,376,{'estimate': 4905},80,None,1653964164
114585639,1273,24,{'estimate': 5430},80,4552,None
169405715,None,94,{'estimate': 4937},80,689,None
98961223,4213,109,{'estimate': 4881},80,4593,None
155347318,None,851,{'estimate': 5921},80,7016,None
79922175,5525,138,{'estimate': 6122},80,7080,1653864692
151238860,3137,380,{'estimate': 5435},80,5933,1653786282
150914755,4681,350,{'estimate': 5835},80,5202,None
398660182,3616,410,{'estimate': 5188},80,4378,1653675930
385295772,None,181,{'estimate': 5608},80,6305,None
248388120,5172,63,{'estimate': 5599},80,5257,None
155447692,4050,149,{'estimate': 5442},80,3972,None
162126721,None,59,{'estimate': 5638},80,4831,None
190738832,5332,76,{'estimate': 5612},80,6253,None
101460882,None,76,{'estimate': 6716},80,None,None
99573176,5427,221,{'estimate': 6090},80,6044,None
104758571,5880,60,{'estimate': 6145},80,6275,None
184138153,5681,75,{'estimate': 6146},80,5862,None
101325470,6843,113,{'estimate': 6312},80,7189,None
85367644,None,125,{'estimate': 6235},80,7363,1652731431
230580807,None,57,{'estimate': 5659},80,None,None
219225327,None,109,{'estimate': 6288},80,7057,None
1071332616,None,None,{'estimate': 6490},None,None,None
151643048,5042,929,{'estimate': 6409},80,4398,None
84429681,5804,8,{'estimate': 6989},80,8619,None
126238768,5272,5,{'estimate': 6991},80,7005,None
110448679,4947,70,{'estimate': 6109},80,7021,None
50828662,6135,181,{'estimate': 6989},80,5839,None
86822085,5996,66,{'estimate': 6989},80,7013,None
38628747,None,153,{'estimate': 7304},80,7528,None
238239590,5527,6,{'estimate': 7304},80,7107,None
126212866,5658,20,{'estimate': 7302},80,6436,None
145550466,None,12,{'estimate': 6238},80,6918,None
97658618,4448,2,{'estimate': 6694},80,7218,None
86745912,None,1,{'estimate': 7839},80,8165,None
154715080,6399,1,{'estimate': 7839},80,9499,None
124801257,4621,10,{'estimate': 7755},80,8059,None
26771994,None,1055,{'estimate': 7634},80,None,None
25907144,4904,12,{'estimate': 6781},80,9041,None
1171243748,None,299,{'estimate': 5973},80,None,None
86850560,5004,102,{'estimate': 6111},80,5801,None
182177187,4688,414,{'estimate': 5795},80,5974,None
197574429,None,71,{'estimate': 6111},80,6555,None
85312703,5325,662,{'estimate': 5866},80,6398,None
452400903,None,103,{'estimate': 5999},80,None,None
455509466,None,12,{'estimate': 5823},80,None,None
493967542,None,124,{'estimate': 5712},80,None,None
322010194,None,945,{'estimate': 5985},80,None,None
206712876,4709,494,{'estimate': 5679},80,5715,None
1202292236,None,None,{'estimate': 3850},None,None,None
113923026,3967,None,{'estimate': 4621},73,4587,None
130433320,None,1476,{'estimate': 4771},80,6185,1653951885
1281314848,None,None,{'estimate': 4762},None,None,None
1248664606,None,None,{'estimate': 3868},None,None,None
483850689,None,None,{'estimate': 3347},None,None,None
1146548664,None,None,{'estimate': 3321},None,None,None
1096978451,None,None,{'estimate': 3156},None,None,None
131271150,None,None,{'estimate': 3312},64,None,None
366332869,3404,2088,{'estimate': 3048},80,2588,None
175709801,2428,155,{'estimate': 5207},80,3691,None
104275965,None,2645,{'estimate': 5549},80,6760,None
89354043,5399,420,{'estimate': 6183},80,7317,None
89558517,None,534,{'estimate': 5831},80,6876,None
329977411,4825,154,{'estimate': 5559},80,4696,None
98961223,4213,109,{'estimate': 4881},80,4593,None
1035128290,None,376,{'estimate': 4905},80,None,1653964164
114585639,1273,24,{'estimate': 5430},80,4552,None
361688848,None,45,{'estimate': 4989},80,None,None
169405715,None,94,{'estimate': 4937},80,689,None
59752811,None,230,{'estimate': 6298},80,6928,None
92706637,5511,57,{'estimate': 6356},80,6537,None
117311875,4017,229,{'estimate': 6039},80,6760,None
91741256,None,71,{'estimate': 6425},80,7009,None
412413765,None,124,{'estimate': 6122},80,None,None
84429681,5804,8,{'estimate': 6989},80,8619,None
126238768,5272,5,{'estimate': 6991},80,7005,None
110448679,4947,70,{'estimate': 6109},80,7021,None
50828662,6135,181,{'estimate': 6989},80,5839,None
86822085,5996,66,{'estimate': 6989},80,7013,None
151238860,3137,380,{'estimate': 5435},80,5933,1653786282
79922175,5525,138,{'estimate': 6122},80,7080,1653864692
155347318,None,851,{'estimate': 5921},80,7016,None
150914755,4681,350,{'estimate': 5835},80,5202,None
143786911,None,74,{'estimate': 5728},80,None,None
92253768,5299,118,{'estimate': 6053},80,7474,None
172739956,5691,610,{'estimate': 5904},80,6511,None
93159453,3921,300,{'estimate': 5757},80,4344,1652688901
874542740,None,237,{'estimate': 5625},80,None,None
277196834,4317,183,{'estimate': 5763},80,5775,None
