account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
1284611820,None,None,{'estimate': 3846},None,None,None
412320425,None,4370,{'estimate': 3902},80,None,None
225617497,4324,2047,{'estimate': 3762},80,3478,1654960229
348236339,None,None,{'estimate': 3839},None,None,None
1262266956,None,None,{'estimate': 3946},None,None,None
318051460,None,None,{'estimate': 3821},72,None,None
1050127319,None,None,{'estimate': 3743},75,None,None
1255727750,None,None,{'estimate': 3821},80,None,None
420936449,None,None,{'estimate': 3848},80,None,None
1106336680,None,None,{'estimate': 3817},55,None,None
100471531,None,4,{'estimate': 7207},80,7361,None
102099826,None,282,{'estimate': 7225},80,8415,None
164532005,None,4,{'estimate': 7170},80,7786,None
132309493,5924,12,{'estimate': 7225},80,6739,None
148526973,5735,244,{'estimate': 6394},80,7179,None
184950344,None,26,{'estimate': 7055},80,6393,None
94281932,5200,12,{'estimate': 6949},80,8263,None
136829091,5664,91,{'estimate': 6450},80,6212,None
121404228,None,169,{'estimate': 7055},80,None,None
152545459,None,31,{'estimate': 6635},80,None,None
1144771878,None,None,{'estimate': 2781},None,None,None
241467447,None,None,{'estimate': 2816},80,None,None
913081877,None,None,{'estimate': 2800},43,None,None
1005626260,None,4466,{'estimate': 2826},80,None,None
948659765,None,2960,{'estimate': 2836},80,None,None
412910858,None,None,{'estimate': 3060},80,None,None
1090568489,None,4979,{'estimate': 2635},80,None,None
1068676453,None,4847,{'estimate': 2622},80,None,None
176158708,None,None,{'estimate': 2610},None,None,None
376005174,None,None,{'estimate': 2611},80,None,None
412320425,None,4370,{'estimate': 3902},80,None,None
225617497,4324,2047,{'estimate': 3762},80,3478,1654960229
1284611820,None,None,{'estimate': 3846},None,None,None
348236339,None,None,{'estimate': 3839},None,None,None
1262266956,None,None,{'estimate': 3946},None,None,None
113923026,3967,None,{'estimate': 4241},73,4587,None
173906452,1038,1627,{'estimate': 4224},80,3774,None
130433320,None,1476,{'estimate': 4240},80,6185,1655386292
1281314848,None,None,{'estimate': 4210},None,None,None
197469851,None,None,{'estimate': 3890},80,1896,None
250358373,None,1466,{'estimate': 3981},80,4046,None
1314388110,None,None,{'estimate': 3897},None,None,None
1251984026,None,None,{'estimate': 3870},None,None,None
1050127319,None,None,{'estimate': 3743},75,None,None
228392819,3563,901,{'estimate': 4191},80,3693,1655061981
1293381675,None,None,{'estimate': 4086},None,None,None
